I'm 19.	Tengo diecinueve.
He's dieting.	Él está a dieta.
He's in pain.	Está sufriendo.
He's jealous.	Él es celoso.
He's my hero.	Él es mi héroe.
He's out now.	El no está aquí ahora.
He's so cute.	¡Él es tan lindo!
He's so cute.	¡Él es tan bonito!
I am Chinese.	Soy chino.
I am a woman.	Soy una mujer.
I am at home.	Estoy en casa.
I am at home.	Ya estoy en casa.
I am baffled.	Estoy confuso.
I am curious.	Tengo curiosidad.
I am curious.	Quiero saberlo.
I am injured.	Estoy lesionado.
I am married.	Estoy casado.
I am married.	Estoy casada.
I am praying.	Estoy rezando.
I am working.	Estoy trabajando.
I'm Tom's ex.	Soy la ex de Tom.
I'm a doctor.	Soy médico.
I'm a doctor.	Soy doctor.
I'm a doctor.	Soy médica.
I'm a farmer.	Soy un granjero.
I'm a surfer.	Soy surfista.
I'm a waiter.	Soy camarero.
I'm a writer.	Soy escritor.
I'm all ears.	Soy todo oídos.
I'm an actor.	Soy actor.
I'm an adult.	Soy adulta.
I'm an adult.	Soy adulto.
I'm an agent.	Soy agente.
I'm anorexic.	Soy anoréxico.
I'm autistic.	Soy autista.
I'm barefoot.	Estoy descalzo.
I'm confused.	Estoy confuso.
I'm confused.	Estoy confusa.
I'm confused.	Estoy confundido.
I'm confused.	Estoy confundida.
I'm divorced.	Estoy divorciada.
I'm doubtful.	Estoy dubitativo.
I'm drowning.	Me estoy ahogando.
I'm educated.	Tengo formación.
I'm famished.	Estoy muerto de hambre.
I'm free now.	Ahora estoy libre.
I'm free now.	Ahora soy libre.
I'm freezing.	Estoy congelado.
I'm freezing.	Estoy helado.
I'm freezing.	Me estoy helando.
I'm grateful.	Soy agradecida.
I'm grieving.	Estoy de luto.
I'm gullible.	Soy ingenuo.
I'm hesitant.	Estoy vacilante.
I'm hurt bad.	Estoy gravemente herido.
I'm in Perth.	Estoy en Perth.
I'm innocent.	Soy inocente.
I'm literate.	Soy culto.
I'm new here.	Soy nuevo aquí.
I'm no angel.	No soy un ángel.
I'm no rebel.	Yo no soy un rebelde.
I'm no rebel.	Yo no soy ningún rebelde.
I'm not bald.	No soy calvo.
I'm not bald.	No estoy calvo.
I'm not busy.	No estoy ocupado.
I'm not deaf.	No estoy sordo.
I'm not dumb.	No soy estúpido.
I'm not here.	Yo no estoy aquí.
I'm not lazy.	No soy perezoso.
I'm not poor.	No soy pobre.
I'm not rich.	No soy rico.
I'm not sick.	No estoy enferma.
I'm not sure.	No estoy seguro.
I'm not tall.	No soy alto.
I'm painting.	Estoy pintando.
I'm pregnant.	Estoy embarazada.
I'm pregnant.	Estoy embarazado.
I'm prepared.	Estoy preparado.
I'm prepared.	Estoy preparada.
I'm rational.	Soy racional.
I'm relieved.	Me siento aliviado.
I'm restless.	Soy inquieto.
I'm restless.	Soy desasosegado.
I'm restless.	Soy intranquilo.
I'm shopping.	Estoy comprando.
I'm sleeping.	Estoy durmiendo.
I'm so alone.	Estoy tan solo.
I'm so happy.	Soy tan feliz.
I'm so happy.	Estoy tan feliz.
I'm so sorry.	Lo siento tanto.
I'm so sorry.	Lo lamento tanto.
I'm so tired!	¡Estoy tan cansado!
I'm so tired!	¡Estoy tan cansada!
I'm so tired.	Estoy muy cansado.
I'm starving!	¡Me muero de hambre!
I'm starving!	¡Me estoy muriendo de hambre!
I'm still up.	Todavía estoy levantado.
I'm stubborn.	Soy terco.
I'm studying.	Estoy estudiando.
I'm the best.	Soy el mejor.
I'm thinking.	Estoy pensando.
I'm thinking.	Estoy meditando.
I'm thirteen.	Tengo trece años.
I'm thorough.	Soy concienzudo.
I'm thrilled.	Estoy entusiasmado.
I'm tolerant.	Soy tolerante.
I'm very fat.	Estoy tan gordo.
I'm very fat.	Soy muy gordo.
I'm very fat.	Soy muy gorda.
I'm very fat.	Estoy muy gorda.
I'm very hot.	Estoy muy cachondo.
I'm very sad.	Estoy muy triste.
I'm very shy.	Soy muy tímido.
I'm very shy.	Soy muy tímida.
I'm with him.	Estoy con él.
I'm worn out.	Estoy exhausto.
I'm worn out.	Estoy reventado.
She is happy.	Ella es feliz.
She is quiet.	Ella es tranquila.
She is quiet.	Es tranquila.
She is quiet.	Está tranquila.
She is wrong.	Ella está equivocada.
She's pretty.	Es guapa.
She's stupid.	No le llega agua al tanque.
She's stupid.	Es un salame.
They are big.	Son grandes.
They're back.	Ellas están de vuelta.
They're back.	Ellos están de regreso.
They're boys.	Son chicos.
They're boys.	Ellos son chicos.
They're boys.	Son muchachos.
They're cold.	Ellos tienen frío.
They're eggs.	Son huevos.
They're fast.	Son rápidos.
They're fine.	Ellos están bien.
They're fine.	Están perfectamente.
They're fine.	Están estupendamente.
They're gone.	Se fueron.
They're good.	Son buenos.
They're here.	Están aquí.
They're here.	Aquí están.
They're here.	Se encuentran aquí.
They're home.	Están en casa.
They're mine.	Son míos.
They're mine.	Ellos son míos.
They're mine.	Ellas son mías.
They're nice.	Son simpáticos.
They're nice.	Están bien.
They're nice.	Son bonitos.
They're rich.	Son ricas.
They're ugly.	Son feos.
They're weak.	Son débiles.
We are happy.	Somos felices.
We are young.	Somos jóvenes.
We're adults.	Somos adultos.
We're afraid.	Estamos asustados.
We're better.	Estamos mejor.
We're better.	Somos mejores.
We're closed.	Estamos cerrados.
We're coming.	Vamos a ir.
We're goners.	Estamos desahuciados.
We're hiding.	Nosotros estamos escondidos.
We're hungry.	Estamos hambrientos.
We're joking.	Estamos bromeando.
We're losing.	Estamos perdiendo.
We're moving.	Nos estamos mudando.
We're moving.	Nos mudamos.
We're moving.	Nos vamos a mudar.
We're moving.	Nos cambiamos.
We're pooped.	Estamos reventados.
We're pooped.	Estamos hechos polvo.
We're sleepy.	Tenemos sueño.
We're trying.	Lo intentamos.
We're trying.	Lo estamos intentando.
You are good.	Eres bueno.
You are good.	Estás bien.
You are late.	Estás retrasado.
You are lazy!	¡Eres un vago!
You are rich.	Eres rico.
You are rich.	Eres rica.
You are rude.	Eres un maleducado.
You're a pig.	Sos un cerdo.
You're crazy.	Estás loco.
You're crazy.	Estás loca.
You're cruel.	Es cruel.
You're cruel.	Eres cruel.
You're cruel.	Es usted cruel.
You're drunk.	Estás borracha.
You're drunk.	Estás borracho.
You're fired.	Está despedido.
You're fired.	Está despedida.
You're fired.	Estáis despedidos.
You're fired.	Estáis despedidas.
You're fired.	Estás despedida.
You're fired.	Están despedidos.
You're fired.	Están despedidas.
You're first.	Tú eres el primero.
You're first.	Tú vas el primero.
You're first.	Te toca primero.
You're first.	Tú vas primero.
You're funny.	Eres gracioso.
You're great.	Eres genial.
You're great.	Eres estupendo.
You're gross!	Estás gordo.
You're gross.	Tú estás obeso.
You're lying.	Estás mintiendo.
You're lying.	Ustedes están mintiendo.
You're naive.	Sos ingenuo.
You're naive.	Eres ingenuo.
You're right.	Tienes razón.
You're sharp.	Eres espabilado.
You're sharp.	Sois listas.
You're small.	Eres pequeño.
You're small.	Sois pequeños.
You're small.	Sois pequeñas.
You're smart.	Eres inteligente.
You're smart.	Sos inteligente.
You're smart.	Son inteligentes.
You're smart.	Sos listo.
You're smart.	Eres listo.
You're smart.	Son listos.
You're smart.	Sos lista.
You're smart.	Eres lista.
You're sweet.	Eres muy dulce.
You're tired.	Estás cansado.
You're tired.	Estás cansada.
You're tough.	Eres duro.
You're witty.	Eres ingenioso.
You're witty.	Eres ocurrente.
You're wrong.	Estás equivocado.
He is English.	Es inglés.
He is a thief.	Es un ladrón.
He is at home.	Él está en casa.
He is my boss.	Él es mi jefe.
He is my type!	¡Él es mi tipo!
He is reading.	Está leyendo.
He is reading.	Él está leyendo.
He is skating.	Está andando en patineta.
He is too old.	Él es demasiado viejo.
He is too old.	Él es muy viejo.
He's a lawyer.	Es abogado.
He's a lawyer.	Él es abogado.
He's a sexist.	Él es machista.
He's a tycoon.	Es un gran hombre de negocios.
He's adorable.	Él es adorable.
He's demented.	Él está demente.
He's innocent.	Es inocente.
He's no saint.	Él no es un santo.
He's not home.	No está en casa.
He's not sick.	No está enfermo.
He's studying.	Él está estudiando.
He's your son.	Él es tu hijo.
I am American.	Soy americano.
I am American.	Soy estadounidense.
I am Japanese.	Soy japonés.
I am Japanese.	Soy japonesa.
I am a runner.	Yo me dedico al trote.
I am all ears.	Soy todo oídos.
I am confused.	Estoy confundido.
I am confused.	Estoy confundida.
I am coughing.	Estoy tosiendo.
I am divorced.	Estoy divorciada.
I am like him.	Soy como él.
I am like you.	Soy como vosotros.
I am like you.	Soy como tú.
I am like you.	Soy como vosotras.
I am new here.	Soy nuevo aquí.
I am not deaf.	No soy sordo.
I am not deaf.	No estoy sordo.
I am not sure.	No estoy seguro.
I am outraged.	Estoy indignado.
I am outraged.	Me indigna.
I am sneezing.	Estoy estornudando.
I am studying.	Estoy estudiando.
I am to blame.	Yo tengo la culpa.
I am to blame.	Es culpa mía.
I am to blame.	La culpa es mía.
I am very sad.	Estoy muy triste.
I'm Icelandic.	Soy islandés.
I'm Tom's dad.	Soy el padre de Tom.
I'm Tom's son.	Soy el hijo de Tom.
I'm a big kid.	Soy un niño grande.
I'm a patient.	Soy paciente.
I'm a student.	Soy estudiante.
I'm a student.	Soy un estudiante.
I'm a teacher.	Yo soy profesor.
I'm a teacher.	Soy maestro.
I'm a tourist.	Soy un turista.
I'm a witness.	Soy testigo.
I'm after him.	Voy tras él.
I'm an addict.	Soy adicta.
I'm an artist.	Soy un artista.
I'm an orphan.	Soy huérfano.
I'm attentive.	Yo soy atento.
I'm awake now.	Estoy despierto ahora.
I'm beautiful.	Soy guapa.
I'm behind you	Estoy detrás de ti.
I'm desperate.	Estoy desesperado.
I'm desperate.	Estoy desesperada.
I'm easygoing.	Yo soy tranquilo.
I'm exhausted.	Estoy exhausto.
I'm exhausted.	Estoy reventado.
I'm exhausted.	Estoy agotado.
I'm expecting.	Estoy embarazada.
I'm forgetful.	Soy olvidadizo.
I'm home, Mom!	¡Mamá, estoy en casa!
I'm home, Tom.	Estoy en casa, Tom.
I'm horrified.	Estoy horrorizado.
I'm horrified.	Estoy horrorizada.
I'm impartial.	Soy imparcial.
I'm impatient.	Estoy impaciente.
I'm impatient.	Soy impaciente.
I'm important.	Yo soy importante.
I'm important.	Soy importante.
I'm impressed.	Estoy impresionada.
I'm impressed.	Estoy impresionado.
I'm in Boston.	Estoy en Boston.
I'm in a gang.	Estoy en una banda.
I'm in charge.	Estoy a cargo.
I'm in danger.	Estoy en peligro.
I'm in my car.	Estoy en mi coche.
I'm intrigued.	Estoy intrigada.
I'm listening.	Estoy escuchando.
I'm listening.	Te escucharé.
I'm motivated.	Estoy motivado.
I'm not a spy.	No soy espía.
I'm not angry.	No estoy enojada.
I'm not blind.	No estoy ciego.
I'm not bossy.	No soy mandón.
I'm not bossy.	No soy mandona.
I'm not crazy.	No estoy loco.
I'm not crazy.	No estoy loca.
I'm not drunk.	No estoy ebrio.
I'm not dying.	No me estoy muriendo.
I'm not going.	No voy.
I'm not going.	No voy a ir.
I'm not going.	Yo no voy.
I'm not happy.	No estoy feliz.
I'm not happy.	No soy feliz.
I'm not happy.	Yo no soy feliz.
I'm not lucky.	No tengo suerte.
I'm not lying.	No estoy mintiendo.
I'm not naive.	No soy ingenuo.
I'm not ready.	No estoy listo.
I'm not ready.	No estoy lista.
I'm not short.	No soy bajo.
I'm not tired.	No estoy cansado.
I'm not tired.	No estoy cansada.
I'm on a diet.	Estoy a dieta.
I'm on my own.	Estoy por mi cuenta.
I'm on my way.	Voy en camino.
I'm on my way.	Estoy de camino.
I'm on strike.	Estoy en huelga.
I'm realistic.	Soy realista.
I'm satisfied.	Estoy satisfecho.
I'm sensitive.	Soy sensible.
I'm so hungry.	Estoy tan hambriento.
I'm so hungry.	Tengo tanta hambre.
I'm so stupid.	Soy tan estúpida.
I'm so stupid.	Soy tan estúpido.
I'm so wasted.	Estoy tan perdido.
I'm tired now.	Ahora estoy cansado.
I'm tired now.	Ahora estoy agotado.
I'm too drunk.	Estoy demasiado borracho.
I'm too tired.	Estoy demasiado cansada.
I'm uninsured.	No estoy asegurado.
I'm uninsured.	No estoy asegurada.
I'm very busy.	Estoy muy ocupada.
I'm very cold.	Tengo mucho frío.
I'm your boss.	Soy tu jefa.
She is French.	Ella es francesa.
She is French.	Es francesa.
She is crying.	Ella está llorando.
She is eating.	Está comiendo.
She is eating.	Ella está comiendo.
She is gentle.	Ella es amable.
She is gentle.	Ella es gentil.
She's a model.	Ella es modelo.
She's dieting.	Está a dieta.
She's my wife.	Ella es mi esposa.
They are here.	Están aquí.
They're Asian.	Son asiáticos.
They're Tom's.	Ellos son de Tom.
They're alive.	Están vivos.
They're alone.	Están solos.
They're angry.	Están enojados.
They're armed.	Ellas están armadas.
They're awake.	Ellos están despiertos.
They're broke.	Están arruinados.
They're broke.	Están arruinadas.
They're clean.	Ellos están limpios.
They're clean.	Están limpias.
They're drunk.	Ellos están embriagados.
They're drunk.	Ellos están ebrios.
They're drunk.	Ellos están borrachos.
They're going.	Ellos van a ir.
They're going.	Ellas van a irse.
They're going.	Se van.
They're great.	Son enormes.
They're great.	Son inmensas.
They're green.	Son verdes.
They're green.	Están verdes.
They're happy.	Están felices.
They're happy.	Son felices.
They're lying.	Están mintiendo.
They're right.	Tienen razón.
They're right.	Están en lo cierto.
They're small.	Son pequeños.
They're spies.	Ellos son espías.
They're spies.	Son espías.
They're there.	Están allí.
They're there.	Ellos están allí.
They're tired.	Están cansados.
They're twins.	Son gemelos.
They're yours.	Son vuestros.
They're yours.	Ellos son vuestros.
They're yours.	Son suyos.
We are afraid.	Estamos asustados.
We are crying.	Estamos llorando.
We are doomed.	Estamos arruinados.
We are doomed.	Estamos condenados.
We are hungry.	Tenemos hambre.
We are hungry.	Estamos hambrientos.
We're baffled.	Estamos desorientados.
We're cousins.	Somos primos.
We're curious.	Estamos intrigados.
We're dancing.	Estamos bailando.
We're engaged.	Estamos comprometidos.
We're engaged.	Estamos prometidos.
We're friends.	Somos amigos.
We're friends.	Somos amigas.
We're in love.	Estamos enamorados.
We're in town.	Estamos en la ciudad.
We're lawyers.	Somos abogados.
We're leaving.	Nos vamos.
We're married.	Estamos casados.
We're on time.	Estamos a tiempo.
We're patient.	Somos pacientes.
We're psyched.	Estamos mentalizados.
We're reading.	Estamos leyendo.
We're selfish.	Somos egoístas.
We're serious.	Somos serios.
We're serious.	Es en serio.
We're sinking.	Nos estamos hundiendo.
We're sloshed.	Estamos borrachos.
We're special.	Somos especiales.
We're staying.	Nos quedamos.
We're through.	Hemos terminado.
We're through.	Hemos concluido.
We're trapped!	¡Estamos atrapados!
We're trapped.	Estamos atrapados.
We're unlucky.	No tenemos suerte.
We're useless.	Somos unos inútiles.
We're useless.	Somos unas inútiles.
We're winning.	Estamos ganando.
We're working.	Estamos trabajando.
You are crazy.	Estás loco.
You are crazy.	Estás loca.
You are drunk!	¡Estás borracho!
You are early.	Llegaste temprano.
You are lying.	Estás mintiendo.
You are lying.	Ustedes están mintiendo.
You are sharp.	Eres ingenioso.
You are wrong.	Estás equivocado.
You are wrong.	Se equivocan.
You're a liar.	Sos un mentiroso.
You're biased.	Eres parcial.
You're clever.	Eres inteligente.
You're clever.	Sos inteligente.
You're clever.	Son inteligentes.
You're clever.	Sos listo.
You're clever.	Eres listo.
You're clever.	Son listos.
You're freaky.	Tú eres raro.
You're insane.	Estás loco.
You're joking!	¿Bromeas?
You're joking!	¡Estás bromeando!
You're my son.	Sos mi hijo.
You're my son.	Eres mi hijo.
You're not me.	No sos yo.
You're pretty.	Eres guapa.
You're single.	Estás soltero.
You're skinny.	Estás delgado.
You're sleepy.	Estás dormido.
You're so old.	Eres tan viejo.
You're so old.	Eres tan vieja.
You're trying.	Estás tratando.
You're unfair.	Sos injusto.
You're unfair.	Eres injusto.
You're unfair.	Usted es injusto.
He is Canadian.	Es canadiense.
He is Japanese.	Él es japonés.
He is a doctor.	Él es médico.
He is a genius.	Él es un genio.
He is a golfer.	Él es golfista.
He is a writer.	Él es escritor.
He is an actor.	Él es actor.
He is bankrupt.	Él está arruinado.
He is homeless.	Él es un sin techo.
He is my uncle.	Es mi tío.
He is my uncle.	Él es mi tío.
He is not dumb.	Él no es tonto.
He is outgoing.	Él es extrovertido.
He is punctual.	Él es puntual.
He's a bit shy.	Él es un poco tímido.
He's a florist.	Es florista.
He's a man now.	Ahora es un hombre.
He's a slacker.	Él es un vago.
He's a slacker.	Él es un perezoso.
He's all right.	Está bien.
He's all right.	Él está bien.
He's an animal.	Él es un animal.
He's an author.	Él es un escritor.
He's depressed.	Está deprimido.
He's in danger.	Él está en peligro.
He's in prison.	Él está en prisión.
He's my father.	Él es mi padre.
He's not going.	Él no va.
He's not ready.	Él no está listo.
He's so stupid.	Es muy tonto.
He's too drunk.	Está demasiado borracho.
He's uninsured.	Él no está asegurado.
I am a shy boy.	Soy un hombre tímido.
I am a shy boy.	Soy un chico tímido.
I am a student.	Soy estudiante.
I am a student.	Soy un estudiante.
